"file_identifier","datasource","first_harvest_date","last_harvest_date","last_mdate_check_date","mdate","doi"
"USGS:5c81817fe4b09388244764dd","Columbia Environmental Research Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-17 00:00:00","doi:10.5066/P9GD4MV2"
"USGS:5e711e95e4b01d509268239b","Central Midwest Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-13 00:00:00","doi:10.5066/P9QPY9MI"
"USGS:5a5e65fee4b06e28e9be4a17","Central Midwest Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-13 00:00:00","doi:10.5066/F7PR7V63"
"USGS:59bc33cfe4b091459a591308","Texas Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-13 00:00:00","doi:10.5066/F7P26X39"
"USGS:5e94830c82ce172707f03470","Central Midwest Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-13 00:00:00","doi:10.5066/P90DPEJM"
"USGS:5e42c597e4b0edb47be844f0","Central Midwest Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-13 00:00:00","doi:10.5066/P9FM4VUZ"
"USGS:5d447a69e4b01d82ce8dbc56","Central Midwest Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-13 00:00:00","doi:10.5066/P9WDI9YF"
"USGS:5d447a0fe4b01d82ce8dbc49","Central Midwest Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-13 00:00:00","doi:10.5066/P9WDI9YF"
"USGS:5d447acfe4b01d82ce8dbc6c","Central Midwest Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-13 00:00:00","doi:10.5066/P9WDI9YF"
"USGS:5d447ab8e4b01d82ce8dbc69","Central Midwest Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-13 00:00:00","doi:10.5066/P9WDI9YF"
"USGS:5c866099e4b09388244b3c82","Central Midwest Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-13 00:00:00","doi:10.5066/P912FO3L"
"USGS:5d8bd644e4b0c4f70d0c190e","California Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-12 00:00:00","doi:10.5066/P9JXQ3SD"
"USGS:5d8bd741e4b0c4f70d0c1ac1","California Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-12 00:00:00","doi:10.5066/P9AYRXBD"
"USGS:5e8f6a3682cee42d134ae02a","California Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-12 00:00:00","doi:10.5066/P9INH1ID"
"USGS:5de983d5e4b02caea0eed9e3","California Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-12 00:00:00","doi:10.5066/P9BVCW1N"
"USGS:5c6c65f9e4b0fe48cb3e5d4d","California Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-12 00:00:00","doi:10.5066/P9FUQXJL"
"USGS:5dd8547ae4b069579767b5a3","California Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-12 00:00:00","doi:10.5066/P9PZMELL"
"USGS:5b33c37ce4b040769c1731a8","California Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-12 00:00:00","doi:10.5066/P9CU0EH3"
"USGS:5d1ba85fe4b0941bde621071","California Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-12 00:00:00","doi:10.5066/P9217ML2"
